,hr,sbp,dbp,temp,spo2,steps
hr,1.0,0.29215431992464214,0.2720951805500541,-0.008877164029993998,0.20025388639942263,0.0682558416854092
sbp,0.29215431992464214,1.0,0.25851633933544865,0.00028101328331904676,0.046149491381497106,-0.0804668524484463
dbp,0.2720951805500541,0.25851633933544865,1.0,0.0015798861357043449,0.02897901452080379,0.07162502357029236
temp,-0.008877164029993998,0.00028101328331904676,0.0015798861357043449,1.0,-0.010028017576935822,0.0017123943659170817
spo2,0.20025388639942263,0.046149491381497106,0.02897901452080379,-0.010028017576935822,1.0,0.015683775005011554
steps,0.0682558416854092,-0.0804668524484463,0.07162502357029236,0.0017123943659170817,0.015683775005011554,1.0
