model,val_balanced_auroc,val_balanced_auprc,val_gmean_threshold,val_gmean,test_auroc,test_auroc_ci_low,test_auroc_ci_high,test_auprc,test_optimal_f1,test_optimal_f1_threshold,test_precision_at_80_recall,test_confusion_tn,test_confusion_fp,test_confusion_fn,test_confusion_tp,test_threshold_source,status,model_family,train_windows,train_source,xgboost_best_params,xgboost_best_val_balanced_auprc,xgboost_best_val_balanced_auroc
random_forest,0.8104338842975206,0.8327689742660251,0.49725432110875367,0.7496555682941201,0.8118580765639589,0.7275664081834681,0.8889236111111112,0.8576579188922785,0.7818181818181819,0.4508950319616223,0.7592592592592593,29,13,11,40,balanced validation G-Mean,fit,Tree Ensemble,979,mixed supervised few-shot cohort,,,
xgboost,0.8481404958677686,0.867005418411289,0.38832375407218933,0.769713373721641,0.7567693744164333,0.661377231143241,0.8484626958891665,0.7935635977409397,0.7735849056603775,0.4246595799922943,0.7454545454545455,26,16,10,41,balanced validation G-Mean,fit,Tree Ensemble,979,mixed supervised few-shot cohort,"{""colsample_bytree"": 0.8, ""eval_metric"": ""aucpr"", ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 800, ""n_jobs"": -1, ""objective"": ""binary:logistic"", ""random_state"": 42, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""scale_pos_weight"": 0.8863198458574181, ""subsample"": 0.8, ""tree_method"": ""hist""}",0.867005418411289,0.8481404958677686
logistic_regression_elasticnet,0.6967975206611571,0.678145343269891,0.5672207474708557,0.6527912098338668,0.6451914098972923,0.5270648410632959,0.7569675925925925,0.6470533152763852,0.7384615384615385,0.27569660544395447,0.6133333333333333,28,14,25,26,balanced validation G-Mean,fit,Regularized Linear,979,mixed supervised few-shot cohort,,,
logistic_regression_l2,0.693698347107438,0.6769831217897453,0.5672600865364075,0.6626081698687841,0.6405228758169934,0.5223909131803869,0.7532406299840511,0.6436638024013612,0.7384615384615385,0.2674679160118103,0.6133333333333333,28,14,26,25,balanced validation G-Mean,fit,Regularized Linear,979,mixed supervised few-shot cohort,,,
one_class_svm,0.5408057851239669,0.5387457544121628,-12.577735816151058,0.5677270907634907,0.5373482726423903,0.4269613312099132,0.6495736808236807,0.6191694334588591,0.7083333333333333,-21.14362949343553,0.5483870967741935,26,16,25,26,balanced validation G-Mean,fit,Classical Anomaly Detector,10000,,,,
isolation_forest,0.4364669421487603,0.46608594061148684,-0.06610285222035805,0.4751032945537925,0.40149393090569563,0.2847378013972091,0.514339860211738,0.48226200088182747,0.7083333333333333,-0.11466590699931489,0.5483870967741935,23,19,32,19,balanced validation G-Mean,fit,Classical Anomaly Detector,100000,,,,
